question1,question2,label
ما مرتبة القارة القطبية الجنوبية من حيث المساحية؟,ما المرتبة المساحية للقارة القطبية الجنوبية؟,1
كم عدد سكان الصين في عام 20-16؟,ما هو ناتج الصادرات للصين في عام 2015؟,0
ماذا نعني بالمذكرات الادارية ؟,ما هي انواع المذكرات الادارية ؟,0
ما مناخ مملكة البحرين؟,ما المناخ السائد في البحرين؟,1
ما طريقة تحضير محشي الجزر الأحمر ؟,من طرق تحضير محشي الجزر الأحمر؟,1
في أي عام حصلت غزوة ذات الرقاع؟,في أي شهر وقعت غزوة ذات الرقاع؟,0
متى وقعت غزوتا ذي أمر وغطفان؟,في أي عام وقعت غزوتا ذي أمر وغطفان؟,1
ما عدد سكان البرازيل؟,ما هو المناخ السائد في البرازيل؟,0
ما هي قصيدة سألت الدار تخبرني؟,ما هي أبيات قصيدة سألت الدار تخبرني؟,1
ما مبادئ المدرسة الكلاسيكية؟,ما معتقدات المدرسة الكلاسيكية؟,1
ما طريقة تحضير صابلي حلزوني كيشهي؟,من طرق تحضير صابلي حلزوني كيشهي؟,1
ما طريقة تحضير الستيك بالمشروم والكريمة؟,كيف احضر الستيك بالمشروم والكريمة؟,1
ما طريقة تحضير كيكة البرتقال بدون بيض؟,من طرق تحضير كيكة البرتقال بدون بيض ؟,1
ما العوامل التي تؤثر على التفويض ؟,ما هو التفويض ؟,0
ما هي الصورة الذاتية selfe؟,ما المقصود بالصورة الذاتية؟,1
ما هو أصول سكان المملكة العربية السعودية؟,ما أصل سكان السعودية؟,1
على ماذا تشمل وسائل التعليم الحديث؟,ما هي وسائل التعليم الحديث؟,1
ما هو عدد المجموعات العرقية الموجودة في مدغشقر؟,ما هو أهم قطاع في مدغشقر؟,0
ما هي عاصمة لبنان؟,ما عدد سكان بغداد؟,0
ما هي أهداف المراسلات الادارية ؟,ما هي المراسلات الادارية ؟,0
ما هو حلو زنود الست ؟,ما طريقة تحضير زنود الست ؟,1
من طرق تحضير القلقاس المقلي؟,من طرق تحضير البط المقلي؟,0
ما هو المتوسط السنوي العام لدرجات الحرارة في الأردن؟,ما هي أخفض بقعة في العالم؟,0
ما طريقة تحضير  محشي الفلفل الرومي؟,كيف احضر  محشي الفلفل الرومي؟,1
كيف اكتب التفويض ؟,ما كيفية كتابة التفويض ؟,1
ما هو تعريف القروض متوسطة الأجل؟,من انواع القروض ؟,0
ما هي عاصمة البرتغال؟,ما اسم برتغال الرسمي؟,0
كيف انظف بقع القهوة عن السجاد؟,كيف انظف السجاد ؟,0
من اين نحصل على المعلومات ؟,ماذا يعني مصادر المعلومات؟,0
ما عاصمة رومانيا؟,ما هي العاصمة البرتغالية؟,0
ما هو دعاء صلاة الاستخارة؟,ما هو دعاء النوم؟,0
ما قطاعات أمريكا الداعمة لإقتصادها؟,ما أسماء القطاعات الداعمة للإقتصاد الأمريكي؟,1
ماذا يحتوي متحف توستو؟,ماذا يوجد في متحف الشمع توستو؟,1
كيف احضر كيكة بسكويت الأوريو؟,من طرق تحضير  بسكويت الأوريو؟,0
ما عدد اللغات التي يدعمها جوجل درايف؟,ما هو جوجل درايف؟,0
ما تعريف القارة؟,كم قارة يوجد في العالم؟,0
ما هي أهمية المحاسبة؟,ما هي المحاسبة ؟,0
ما عاصمة سان مارينو؟,ما اسم العاصمة الرومانية؟,0
ما المقصود بالرمز المتسلسل للهاتف؟,كم رقم تسلسلي لكل هاتف؟,0
كيف أشتري من المتاجر عن طريق الماستر كارد؟,كيف أدفع مشترياتي على بطاقة الماستر كارد؟,1
متى ولد الشاعر أبو نواس؟,في أي عام ولد أبو نواس؟,1
ما اسم الدولة التي كانت أكبر دولة مصدرة في عام 2010؟,من يحكم جمهورية الصين؟,0
كم يصل إجمالي مساحة الجبل الأسود؟,ما هي المساحة الجغرافية لموناكو؟,0
من هو توفيق الحكيم؟,ما هي أهم اعمال توفيق الحكيم؟,0
أين توجد بولندا في قرة أوروبا؟,أين توجد الفاتيكان في قارة أوروبا؟,0
ما مناخ قارة أوقيانوسيا السائد؟,لماذا تم استعمار قارة أوقيانوسيا؟,0
من طرق تحضير  الحلاوة بالشعيريّة؟,من طرق تحضير   بالشعيريّة؟,0
ماذا يحد مقدونيا من الشمال؟,ما هي حدود مقدونيا الشمالية؟,1
كم يبلغ عدد سكان ولاية نيو برونزويك؟,كم يصل عدد السكان في ولاية نوفا سكوشا؟,0
ما كيفية صنع  التمرية النابلسية في المنزل ؟,كيف اصنع  التمرية النابلسية في المنزل ؟,1
ما هي أنواع تمارين الضغط؟,كم نوع يوجد لتمارين الضغط؟,1
ما هي المقابلة الشخصية ؟,ماذا نقصد بالمقابلة الشخصية ؟,1
ما اللغة الرسمية في روسيا؟,ما هي عاصمة روسيا؟,0
كيف أمارس تمرين الضغط المثلث؟,على ماذا يقوم تمرين الضغط المثلث؟,1
ماذا يعني الحمل الكاذب؟,ما هو الحمل؟,0
ما اسم عاصمة ليبيا؟,ما هي العاصمة الليبية؟,1
ما الأضرار الناتجة عن استخدام الفيس بوك,كيف أعمل فيس بوك؟,0
كم يبلغ عدد سكان ولاية مانيتوبا؟,كم يصل عدد السكان في ولاية مانيتوبا؟,1
هل يستحب قراءة سور معينة في صلاة الاستخارة؟,ماذا أقرأ في صلاة الاستخارة؟,1
ما هي لغات قواعد البيانات؟,ما المقصود بلغات قواعد البيانات؟,0
بماذا يختلف جلد الضفدع؟,كيف يتمسك الضفدع بالأشجار؟,0
ما معدل الإنفاق الحكومي للتعليم في روسيا؟,كم تنفق الحكومة الروسية على التعليم؟,1
من المدن الصناعية في الوطن العربي؟,ما هي المدن الصناعية في الوطن العربي؟,1
متى بنيت كنيسة عمانوئيل؟,أين يوجد المتحف الوطني في إندونيسيا؟,0
كيف تميز أنثى الضفدع صوت الذكر؟,ما الطريقة التي تميز بها أنثى الضفدع الذكر؟,1
ما هي أدوية البهاق؟؟,ما هي ادوية البرص؟,0
ما هي المواقع المختصة للحصول على المعلومات؟,من مصادر المعلومات ؟,0
كيف يكتشف مرض كورونا؟,ما هي الفحوصات الطبية للكشف عن فيروس كورونا؟,1
ما انواع البطاقة الشخصية ؟,ما معنى الهوية ؟,0
ماذا نقصد بالقروض متوسط الأجل؟,ما هو تعريف القروض متوسطة الأجل؟,1
من ايجابيات الخلايا الشمسية؟,ما ايجابيات الخلايا الشمسية؟,1
من طرق تحضير كب كيك محشي بالمارشميلو؟,من طرق تحضير كب كيك محشي  ؟,0
ما هي القبيلة التي تحتوي على السكان الأصليون لنيوزلندا؟,ما اسم القبيلة التي يوجد فيها السكان النيوزلندييون الأصليون؟,1
كيف يصنع الاسمنت ؟,ما طرق صناعة الاسمنت ؟,1
كم قُطر مسجد الاستقلال؟,في أي عام بني مسجد  الاستقلال في إندونيسيا؟,0
من يكتب المنشورات الأكادمية ؟,من يجهز المنشورات الأكادمية؟,1
ما هو عمل المُنظّمة العالميّة للسّلام؟,ما هو السلام ؟,0
كيف ارسخ القيم في الفرد ؟,من خصائص القيم ؟,0
كيف احضر  الكاتو السوري؟,من طرق تحضير الكاتو  ؟,0
من طرق تحضير كيكة قدرة قادر؟,من طرق تحضير كيكة  ؟,0
ما طريقة تحضير الأرز مع الخضار في الفرن؟,كيف احضر الأرز مع الخضار في الفرن؟,1
ما هي أجمل مدينة في المانيا؟,لماذا سميت مدينة دوسلدوف بعاصمة الأناقة؟,0
كيف تستخدم عصا السيلفي؟,ما هي صور السيلفي؟,0
ما هي اشكال الألمنيوم؟,ما هو الألمنيوم؟,0
كيف اصنع مكيف هواء من مكونات البيت ؟,ما هو مكيف الهواء ؟,0
ما أهمية الفيسبوك في وقتنا الحالي؟,ما هو الفيسبوك؟,0
في أي سنة تم اختراع أول رجل آلي؟,متى تم اختراع أول رجل آلي؟,1
ما هو علاج مرض السل؟,كيف يعالج مرض السل؟,1
ما هو مرض كورونا؟,ما هو الكورونا؟,1
كيف احضر البقسماط التوست؟,من طرق تحضير البقسماط التوست؟,1
هل تخفف الميرمية من خطوط السيلوليت؟,كيف أتخلص من خطوط السيلوليت باستخدام الميرمية؟,1
ما معنى الغزو لغة؟,ما معنى الغزو؟,1
ما هو أطول نهر في قارة أفريقيا؟,ما هي اللغة الأكثر شيوعاً في قارة أفريقيا؟,0
لماذا سميت القرية الترائية بهذا الاسم؟,ما سبب تسمية القرية التراثية الكويتية بهذا الاسم؟,1
ما هي نشأة الطيران ؟,متى بدأ الطيران ؟,1
ما هي عاصمة ريونيون التابعة لفرنسا؟,ما هي عاصمة رينيون؟,1
ما تأثير غسيل الاموال على الاقتصاد ؟,ما المقصود بغسيل الاموال ؟,0
كيف احضر إيزي كيك بالحليب المكثّف؟,من طرق تحضير إيزي كيك ؟,0
ما هي المصادر الغذائية لفيتامين د؟,هل فيتامين د متواجد في الطعام؟,1
من طرق تحضير محشي الجزر الأحمر؟,من طرق تحضير محشي الجزر ؟,0
ما هو أكبر متحف شمع في العالم؟,ماذا يوجد في متحف الشمع توستو؟,0
أين يوجد الجبل الأسود في قارة أوروبا؟,أين توجد موناكو في قارة أوروبا؟,0
لماذا تعتبر مقدونيا واحدة من الدول الأوربية المعقدة؟,ما سبب كوّن مقدونيا من أكثر الدوا الأوروبية تعقيداً؟,1
ما اسم عاصمة بلجيكيا؟,ما اسم عاصمة روسيا البيضاء؟,0
ما طريقة تحضير حلاوة الجبن مع الطّحين؟,كيف احضر حلاوة الجبن مع الطّحين؟,1
ما هو نظام التشغيل المعتمد في أجهزة السامسونج؟,ما نظام تشغيل أجهزة السامسونج؟,1
كم يصل طول حدود كندا والولايات المتحدة؟,كم يصل حدود أمريكا؟,0
من طرق تحضير كب كيك جاتو القطيفة؟,من طرق تحضير كب كيك ؟,0
ما طريقة تحضير العصيدة مع الجبن ؟,كيف احضر العصيدة مع الجبن؟,1
ما هي المساحة الجغرافية لجزيرة فيجي؟,ما مساحة جزيرة فيجي الجغرافية؟,1
كيف احضر سلطة الشمندر بالذرة؟,من طرق تحضير سلطة  الذرة؟,0
ما هي تمارين الضغط؟,كيف تكون تمارين الضغط؟,1
ماذا حدث في كوالالمبور عام 1963؟,متى أعلنت كوالالمبور عاصمة لماليزيا؟,0
ماذا نقصد بالسلم ؟,ماذا نقصد بالسلام ؟,1
في أي عام بني مسجد الاستقلال في إندونيسيا؟,ما اسم أكبر مسجد في إندونيسيا؟,0
كم موظف تم تعيين للإنتهاء من بناء تاج محل؟,في أي عام تم الانتهاء من بناء تاج محل؟,0
ما هي عملة الاردن؟,متى صدرت عملة الاردن؟,0
ما طريقة تحضير  حلوى ماهو؟,من طرق تحضير  حلوى ماهو؟,1
ما طريقة تحضير التمر بالمارشميلو ؟,من طرق تحضير كيكة التمر؟,0
كيف ظهرت فكرة آلة التصوير؟,كيف نشأت آلة التصوير؟,1
من الصحابي الذي استخلفه الرسول على المدينة في غزوة المريسيع؟,من استخلف النبي على المدينة في غزوة بدر؟,0
كيف احضر محشي الجزر الأحمر؟,من طرق تحضير محشي الجزر الأحمر؟,1
ما سبب عدم ظهور التجاعيد على البشرة الدهنية مبكراً؟,لماذا تعد البشرة الدهنية الأطول عمراً؟,1
ما طريقة تحضير محشي الجزر الأحمر بالشمندر ؟,من طرق تحضير محشي الجزر الأحمر  ؟,0
ما خصائص القيم ؟,من مميزات القيم ؟,1
كيف اتعامل مع ذوي الاحتياجات الخاصة ؟,ماذا نعني بذوو الاحتياجات الخاصّة؟,0
ما هي الأبيات الشعرية التي قالها الإمام الشافعي عن الصداقة؟,ما هي قصيدة الشافعي عن الصداقة؟,1
ما هي أضرار البروتين الصناعي؟,كيف يكون البروتين الصناعي مضراً للجسم؟,1
ما طريقة تحضير حشوة التمر ؟,من طرق تحضير كيكة التمر؟,0
ما فائدة إيصال الهاتف المحمول بشاشة التلفاز؟,كيف تم توصيل الهاتف بشاشة التلفاز؟,0
ما معنى الهجرة ؟,من اسباب الهجرة ؟,0
ما هي امتدادات سور الصين العظيم؟,متى أُعلن عن أسماء عجائب الدنيا السبعة الجديدة؟,0
من طرق تحضير كيكة البطاطا الحلوة مع جوز البقان ؟,من طرق تحضير كيكة البطاطا ؟,0
كم تصل مساحة ألمانيا؟,كم تبلغ مساحة ألمانيا؟,1
متى أتيحت الشبكة العنكبوتية مجاناُ؟,ما المقصود بالشبكة العنكبويتية؟,0
كيف احضر عجينة البيتزا السّميكة؟,من طرق تحضير عجينة البيتزا  ؟,0
ما هي اللغة الرسمية في أمريكا؟,ما هي اللغة الرسمية للولايات المتحدة الأمريكية؟,1
ما هي عاصمة فلسطين؟,ما عدد سكان صنعاء؟,0
ما طريقة تحضير  كيكة قرع العسل  ؟,كيف احضر  كيكة قرع العسل ؟,1
كيف يمكن فك قفل هاتف نوكيا على نظام تشغيل سيمبيان؟,ما هو نظام سيمبيان؟,0
متى عاد النظام الملكي لإسبانيا؟,من هو مؤسس إسبانيا؟,0
ما عاصمة الغابون؟,ما عاصمة غينيا الاستوائية؟,0
ما المقصود بالرسالة في عملية الاتصال؟,ما المقصود بعملية الاتصال؟,0
كم يبلغ تعداد ليتوانيا السكاني؟,كم يبلغ تعداد ليختنشتاين السكاني؟,0
ما عدد السكان في جزيرة فيجي؟,كم يبلغ عدد سكان جزيرة فيجي؟,1
ما المساحة الجغرافية لكامل مناطق قارة أوقيانويا؟,كم هي مساحة كافة مناطق قارة أوقيانوسيا؟,1
كم عدد قصائد المعلقات؟,من هم شعراء المعلقات؟,0
ماذا نقصد بقواعد البيانات؟,ما أهمية قاعدة البيانات؟,0
كيف احضر حشوة القشطه؟,من طرق تحضير كيكة القشطه؟,0
ما موقع جزيرة فيجي؟,ما مساحة جزيرة فيجي؟,0
في أي عام تأسست الجزائر الأولى؟,كم مجموع الثورات التي حدثت في الجزائر؟,0
من هو الحاكم التي تمكن من تحقيق إستقلال سلطنة عمان؟,ما هي عاصمة عمان؟,0
كيف احضر كيك بالفواكه والمُكسَّرات؟,من طرق تحضير كيك بالفواكه والمُكسَّرات؟,1
ما هي نسبة الهندوسيين في الصين؟,كم تبلغ نسبة معتنقي الديانات الشعبية في الصين؟,0
ما سبب حصول شنغهاي وورلد فينيشال سنتر للعديد من الجوائز؟,ما هي تكلفة البناء لشنغهاي وورلد فينيشال سنتر؟,0
كيف احضر البان كيك؟,من طرق تحضير البان كيك؟,1
كم تبلغ مساحة ألبانيا؟,ما مساحة ألبانيا الإجمالية؟,1
ما عاصمة أثيوبيا؟,ما هي عاصمة إريتريا؟,0
ما هي مبيحات إفطار الصائم؟,ما مبيحات الإفطار؟,1
ما هي عملة ليبيا؟,ما هي العملة ؟,0
كم يبلغ طول عقرب ساعة بيج بين؟,كم طول عقرب ساعة بيج بين؟,1
ما هو البهاق؟,ما هو مرض البهاق؟,1
ماذا يغطي أذن الضفدع؟,كيف يكون شكل أسنان الضفدع؟,0
ما هي أنواع الفوائد ؟,هل هناك انواع للفوائد ؟,1
ما هي اعراض نقص الدم؟,ما هي اعراض الانيميا؟,1
أين تقع البوسنة والهرسك في قارة أوروبا؟,أين تقع بلجيكيا في قارة أوروبا؟,0
ما هي اسباب فقدان الوعي؟,ما هي اسباب الغيبوبة؟,1
كم النسبة المئوية للسكان التتار في روسيا؟,أين تتركز الكثافة السكانية في روسيا؟,0
ما هي قصيدة أجمل حب؟,ما هي أبيات قصيدة أجمل حب؟,1
هل تفيد الميرمية في علاج خطوط السيلوليت؟,كيف أتخلص من خطوط السيلوليت باستخدام الميرمية؟,1
ما هي النظرية الكمية؟,ماذا نقصد بالنظرية الكمية؟,1
كم مسجد يوجد بالرياض؟,كم كنيسة يوجد في الرياض؟,0
كيف كانت المرأة في العصر الجاهلي؟,كيف كانت المرأة في الجاهلية؟,1
ما الذي يغطي نصف المساحة الجغرافيّة الروسيّة؟,ما أهم المعالم السياحية الموجودة في روسيا؟,0
ما هو التنظيم والتنسيق؟,من سلبيات التنظيم والتنسيق؟,0
اين يشتغل الصيدلي ؟,ما مكان عمل الصيدلي ؟,1
متى تم اختراع جهاز التحكم عن بعد؟,من اخترع جهاز التحكم عن بعد؟,0
من طرق تحضير المصابيب دون بيض؟,من طرق تحضير المصابيب  المحشي ؟,0
أين تقع ليختنشتاين في قارة أووبا؟,ما هو موقع لاتفيا في قارة أووبا؟,0
كيف أطبق ماسك الطماطم والليمون على بشرتي؟,كيف أعمل ماسك الطماطم والليمون؟,1
ما خلاصة التسوق على الانترنت ؟,ما ملخص التسوق على الانترنت ؟,1
ما هو المفهوم الشامل لتكنولوجيا التعليم؟,ماذا يشمل مفهوم تكنولوجيا التعليم؟,1
كم تبلغ كثافة كرواتيا السكانية؟,كم تصل الكثافة السكانية في كرواتيا؟,1
كيف ابتدأ نجيب محفوظ مسيرته الأدبية؟,متى ولد نجيب محفوظ؟,0
في أي عام وقعت غزوة بدر الأخيرة؟,متى وقعت غزوة بدر الكبرى؟,1
ما هي اللغة الرسمية في إسبانيا؟,ما هو مناخ إسبانيا العام؟,0
ما هو موضوع الرسالة ؟,ما هي الرسالة ؟,0
ما هي اماكن ظهور الدمامل؟,ما هي اماكن ظهور حب الشباب؟,0
ما هي البشرة الدهنية؟,ما هي صفات البشرة الدهنيّة؟,1
من اعمال مدير المبيعات ؟,ماذا نقصد بمدير المبيعات ؟,0
ما الشيء الذي كان يميّز عمرو بن كلثوم في شخصيته؟,ما الشيء الذي كان يميّز عمرو بن كلثوم في شخصيته؟,1
ما هي الهوامش ؟,ما سلبيات وضع الهوامش ؟,0
كيف احضر سويسرول بالفانيلا ؟,من طرق تحضير سويسرول  ؟,0
كم تبلغ نسبة البطالة لمن هم بين 15-24 في مدغشقر؟,ما نسبة المتعلمين في مدغشقر؟,0
ما هي قصيدة أما يردع الموت أهل النهى؟,من قائل قصيدة أما يردع الموت أهل النهى؟,0
ما تأثير القهوة على الكالسيوم في الجسم؟,ما علاقة القهوة بالكالسيوم الموجود في الجسم؟,1
من اخترع الهاتف الأرضي؟,ما مميزات الهاتف الأرضي؟,0
ما هو الاشهار ؟,ما اهمية الاشهار ؟,0
هل يفيد حمام البخار بشرة الوجه؟,ما أهمية عمل حمام بخار للجسم؟,0
ما الفرق بين تمرين الضغط بذراعين متباعدتين وتمرين الضغط العادي؟,ما الفرق بين تمرين الوقوف على اليدين وتمرين المثلث؟,0
في أي عام بني مبنى القصبة الجزائري؟,متى بني مبنى القصبة؟,1
من طرق تحضير فطآئر البيبروني؟,من طرق تحضير بيتزا البيبروني؟,0
ما طريقة تحضير بودنج الأرز الهندي؟,من طرق تحضير  الأرز الهندي؟,0
من طرق تحضير حلى التمر؟,من طرق تحضير  التمر ؟,0
ما حكم قضاء صلاة الوتر؟,ما الحكم الشرعي لقضاء الوتر؟,1
ما هي أهم مجالات المخترعات؟,ما أهمية المخترعات في الحياة؟,0
ما هي اللغة الرسية في ولاية كيبك؟,ما لغة نيو برونزويك الرسمية؟,0
في أي عام تم إلإعلان بشكلٍ رسمي عن الدستور الأمريكي الأول؟,متى أعلن عن استقلال أمريكا؟,0
هل للمرضع أن تفطر في رمضان؟,هل تفطر المرضع في رمضان؟,1
ما طريقة تحضير كيكة بسكويت الزّبدة ؟,كيف احضر كيكة بسكويت الزّبدة؟,1
ما تأثير تناول البقدونس مع مدرات البول؟,ما تأثير مدرات البول على الجسم؟,0
ما هي مميزات الجيل الخامس للحاسوب؟,بم يتميز الجيل الخامس للحاسوب؟,1
من طرق تحضير  البرغل بالجبنة والمشروم؟,من طرق تحضير البرغل ؟,0
كيف ظهرت تقنية المعلومات ؟,كيف بدأت تقنية المعلومات ؟,1
ما المقصود بالصيام المحرم؟,ما أنواع الصيام المحرم؟,0
ما هو أكبر تمثال في العالم؟,كم يصل ارتفاه الأهرامات؟,0
ما هي أهمية المراسلات الادارية ؟,ما هي أهداف المراسلات الادارية ؟,1
ما اسم عاصمة النمسا؟,ما اسم عاصمة هولندا؟,0
من اعمال مدير المبيعات ؟,ماذا يفعل مدير المبيعات ؟,1
متى وصل المستكشفون الأوروبيون إلى جزيرة فيجي؟,ما العام الذي وصلوا فيه المستكشفون الأوربيون لجزيرة فيجي؟,1
هل فيتامين د متواجد في الطعام؟,ما هي مصادر فيتامين ب12؟,0
ما الذي يميز مدينة دوسلدورف؟,ما أكثر ما تهتم به مدينة دوسلدورف؟,1
كم تبلغ مساحة إسبانيا؟,كم تصل المساحة الإجمالية لإسبانيا؟,1
ما العلاقة بين التنمية الاقتصادية وعلم الاقتصاد ؟,متى ظهرت التنمية الاقتصادية ؟,0
كيف أعتني ببشرتي؟,ما هي الطريقة الصحيحة للاعتناء بالبشرة ؟,1
ما هي اللغة الرسمية في نيجيريا؟,ما هي أصول سكان نيجيريا؟,0
ما أقسام الصيام المفروض؟,ما أنواع صيام التطوع؟,0
ما هي اللغة الرسية في ولاية كيبك؟,ما لغة كيبك الرسمية؟,1
ما كيفية عمل الارز باللبن ؟,كيف اصنع الارز باللبن ؟,1
متى يجب خذ الحيطة والحذر عند تناول البقدونس؟,ما إجراءات الحيطة والحذر عند المرض؟,0
ما هي حالات الكحة التي تستدعي اللجوء للطبيب؟,ما هي حالات السعال التي تستدعي الذهاب الى الطبيب؟,1
ما هي العوامل التي تحفّّز ظهور الدهون على الوجه؟,لماذا تظهر الدهون/الزيوت على الوجه؟,1
ما اسم عاصمة ولاية نيو برونزويك؟,ما اسم عاصمة نوفا سكوشا؟,0
ما هي عملة جزر القمر الرسمية؟,ما هي العملة الرسمية لجزر القمر؟,1
ما طريقة تحضير الدحدح؟,من طرق تحضير   الدحدح؟,1
طريقة تحضير اصابع زينب بالبهارات؟,طريقة تحضير اصابع زينب بالسمن ؟,0
كيف احضر تشيز كيك بالليمون ؟,من طرق تحضير تشيز كيك  ؟,0
كيف احضر العريكة؟,من طرق تحضير العريكة المالحة؟,0
في أي مكان توجد جامعة المحيط الهادئ؟,كم تبلغ نسبة محو الأمية في جزيرة فيجي؟,0
كم تبلغ نسبة انتشار المسيحية في جزيرة فيجي؟,ما هي النسبة المئوية لإنتشار المسيحية في جزيرة فيجي؟,1
ما طريقة تحضير البقسماط المصري ؟,كيف احضر البقسماط المصري؟,1
كيف يُفتّح السدر البشرة؟,ما طريقة تفتيح البشرة باستعمال السدر؟,1
كيف أتراجع عن حذف حسابي في الفيسبوك؟,ما هي أهمية الفيسبوك؟,0
من صاحب قصيدة أبيت أرمد ما لم اكتحل بكم؟,ما هي  قصيدة أبيت أرمد ما لم اكتحل بكم؟,0
كيف احضر كعب الغزال باللوز؟,من طرق تحضير  كعب الغزال باللوز؟,1
ما هو علاج التهاب الأذن الوسطى؟,ما هو علاج التهاب الأذن؟,0
ما هي الكينوا ؟,ماذا نقصد بالكينوا؟,1
متى وقعت غزوة حنين؟,في أي سنة وقعة غزوة حنين؟,1
ما المقصود بلغات قواعد البيانات؟,ما هي قواعد البيانات؟,0
كيف أثرت المخترعات في مجال الصناعة؟,كيف انعكس تاثير المخترعات على مجال الصناعة؟,1
ما الفرق بين الولاية والإقليم في كندا؟,متى تم انشاء قانون دستوري لأمريكا؟,0
ما هي طريقة تحضير فيلية السمك مع الهليون؟,من طرق تحضير السمك؟,0
ما هي طريقة تحضير حلى الزبادي بالنسكافيه والكريم كراميل؟,من طرق صنع حلى الزبادي بالنسكافيه والكريم كراميل؟,1
ما هي تكنولوجيا المعلومات؟,ماذا نقصد بتكنولوجيا المعلومات؟,1
كيف هي الحالة العامة للطقس في مدغشقر شتاءً؟,ما حالة الطقس في مدغشقر صيفاً,0
ما هي طريقة تحميل تطبيق الفايبر؟,ما هو الفايبر؟,0
ماذا يحد الجزائر من كافة الجهات؟,ما الدول التي تحد الجزائر من الجهات الأربع؟,1
ما هي عاصمة جزيرة الأمير إدوارد؟,ما هي عاصمة ساسكاتشوان؟,0
ما طريقة تحضير تتبيلة الكبدة ؟,من طرق تحضير تتبيلة الكبدة؟,1
كيف احضر اصابع جبنة الموزريلا؟,ما هي طريقة تحضير اصابع جبنة الموزريلا؟,1
ما هس مساحة إستونيا الإجمالية؟,كم تبلغ مساحة إستونيا؟,1
كم وصلت تكلفة بناء برج خليفة؟,كم عدد طوابق المكاتب في برج خليفة؟,0
كم تبلغ حصة الفرد الواحد من الناتج المحلي في أمريكا؟,كم تصل نسبة الناتج المحلي للفرد في الولايات المتحدة؟,1
ماذا نقصد بالتحليل المالي ؟,ما اهداف التحليل المالي ؟,0
من طرق تحضير حلى خلية الهرم بصوص السينابون؟,من طرق تحضير   السينابون؟,0
في أي بلد ولد نزار قبّاني؟,متى ولد نزار قباني؟,0
ما هي العناصر التي ركزت عليها اليونيسكو للسلام ؟,ما هيه اساسيات اليونيسكو للسلام ؟,0
ما هي قوة الشخصية؟,ماذا نعني بقوة الشخصية؟,1
كيف يؤثر زيت البقدونس على جهاز المناعة؟,ما تأثير النعناع على جهاز المناعة؟,0
كم يصل طول نهر النيل؟,أين يوجد هرم خوفو؟,0
كيف يتم الاجهاض بالادوية ؟,كيف يحدث الاجهاض بالادوية؟,1
ما نوع المناخ في هايتي؟,ما ارتفاع جبل لاسل؟,0
من هو الشخص الذي قام ببناء سور الصين العظيم؟,متى تم بناء سور الصين العظيم؟,0
ما هي النسبة المئوية للسكان المسلمون في روسيا؟,ما هي أكبر مدينة في روسا؟,0
